anio,colegios_totales,matricula_total,matricula_inicial,matricula_primaria,matricula_secundaria,inversion_total,repitencia_primaria,repitencia_secundaria
2013,9478,2828409,519927,1300964,1007518,120607186,1.56,9.88
2014,9485,2848225,529068,1310330,1008827,103943554,1.61,8.96
2015,9494,2874427,535660,1320208,1018559,220259394,1.93,9.47
2016,9538,2906271,540418,1331611,1034242,181434985,3.35,11.11
2017,9542,2938776,549374,1341369,1048033,195088227,3.40,10.82
2018,9574,2977817,558277,1352560,1066980,152205433,3.21,9.92
2019,9595,3007452,555848,1365530,1086074,136709423,2.81,9.32
2020,9601,3019781,538024,1378564,1103193,112539333,0.08,0.04
2021,9594,3027604,498297,1379219,1150088,142192350,2.43,4.89
2022,9614,3021778,504674,1366978,1150126,168801786,2.35,5.72
