anio,id_zona,inversion_educativa_usd
2013,1,32215656
2013,2,16804383
2013,3,26362308
2013,4,16720927
2013,5,28503916
2014,1,28170815
2014,2,14147821
2014,3,22694725
2014,4,14349315
2014,5,24580880
2015,1,59458655
2015,2,30034738
2015,3,48042961
2015,4,30564851
2015,5,52158192
2016,1,48748925
2016,2,24895091
2016,3,39592437
2016,4,24697704
2016,5,43500832
2017,1,52273669
2017,2,26911209
2017,3,43297835
2017,4,25608424
2017,5,46997092
2018,1,46825061
2018,2,20612029
2018,3,27738112
2018,4,19074668
2018,5,37955566
2019,1,43270493
2019,2,19474653
2019,3,21000041
2019,4,18065757
2019,5,34898479
2020,1,35620314
2020,2,16031554
2020,3,17287255
2020,4,14871750
2020,5,28728463
2021,1,45326159
2021,2,20035720
2021,3,20563029
2021,4,18639588
2021,5,37627858
2022,1,53708696
2022,2,23849939
2022,3,24117331
2022,4,22278900
2022,5,44846923
