anio,id_zona,poblacion_total
2013,1,3921770
2013,2,1716355
2013,3,2179718
2013,4,1935394
2013,5,2767226
2014,1,3964036
2014,2,1734553
2014,3,2195885
2014,4,1986784
2014,5,2804631
2015,1,4005383
2015,2,1752686
2015,3,2211873
2015,4,2037428
2015,5,2841481
2016,1,4046118
2016,2,1770648
2016,3,2227546
2016,4,2087359
2016,5,2877833
2017,1,4086484
2017,2,1788546
2017,3,2242743
2017,4,2136695
2017,5,2913671
2018,1,4126057
2018,2,1806290
2018,3,2257768
2018,4,2185597
2018,5,2948871
2019,1,4164717
2019,2,1823904
2019,3,2272494
2019,4,2233860
2019,5,2983675
2020,1,4203067
2020,2,1841233
2020,3,2287100
2020,4,2281194
2020,5,3017775
2021,1,4240724
2021,2,1858151
2021,3,2301484
2021,4,2327874
2021,5,3051501
2022,1,4132655
2022,2,1856174
2022,3,2328154
2022,4,1841247
2022,5,3201056
