anio,municipio_id,municipio_nombre,unidades_de_servicio_nivel_inicial*,unidades_de_servicio_nivel_primario,unidades_de_servicio_nivel_secundario**,sector_de_gestión_estatal***,sector_de_gestión_privada****,matricula_sexo_femenino*****,matricula_sexo_masculino******,matricula_nivel_inicial,matricula_nivel_primario*******,matricula_nivel_secundario********
2012,06854,25 de Mayo,36,49,15,115,14,7134,5952,2015,3686,2563
2013,06854,25 de Mayo,37,49,15,118,14,6805,5888,2062,3650,2588
2014,06854,25 de Mayo,38,49,15,120,14,6763,6004,2154,3621,2643
2015,06854,25 de Mayo,38,49,15,119,14,6967,6147,2105,3564,2724
2016,06854,25 de Mayo,37,49,15,121,13,7103,5994,2105,3579,2696
2017,06854,25 de Mayo,37,48,15,119,12,6946,5922,2110,3537,2681
2018,06854,25 de Mayo,37,48,15,119,12,7260,6070,2159,3526,2696
2019,06854,25 de Mayo,37,48,15,119,12,7373,6293,2174,3519,2736
2020,06854,25 de Mayo,37,48,14,116,12,7106,6245,2145,3530,2731
2021,06854,25 de Mayo,37,47,14,116,12,6318,5742,2071,3534,2698
2022,06854,25 de Mayo,38,47,14,117,12,6915,6293,2081,3463,2750
2023,06854,25 de Mayo,36,47,14,115,12,6871,6159,2025,3418,2692
2011,06854,25 de Mayo,36,49,16,115,15,7100,6110,2013,3723,2537
2012,06588,9 de Julio,38,46,20,122,10,9324,8275,2346,5039,3326
2013,06588,9 de Julio,38,46,20,127,10,9340,8397,2346,4987,3416
2014,06588,9 de Julio,39,45,16,123,10,9692,8284,2385,4986,3507
2015,06588,9 de Julio,39,45,16,125,10,10092,8480,2436,4986,3539
2016,06588,9 de Julio,37,44,17,122,11,9283,8003,2354,4950,3539
2017,06588,9 de Julio,36,42,17,114,9,9981,8360,2379,4877,3560
2018,06588,9 de Julio,34,39,17,112,9,9339,8160,2445,4838,3695
2019,06588,9 de Julio,34,38,17,112,9,10011,8494,2473,4832,3688
2020,06588,9 de Julio,34,38,17,107,9,9267,8067,2395,4823,3630
2021,06588,9 de Julio,34,38,17,108,9,9693,8065,2314,4928,3720
