anio,municipio_id,unidades_de_servicio_nivel_inicial*,unidades_de_servicio_nivel_primario,unidades_de_servicio_nivel_secundario**,sector_de_gestión_estatal***,sector_de_gestión_privada****,matricula_sexo_femenino*****,matricula_sexo_masculino******,matricula_nivel_inicial,matricula_nivel_primario*******,matricula_nivel_secundario********
2012.0,6854.0,36.0,49.0,15.0,115.0,14.0,7134.0,5952.0,2015.0,3686.0,2563.0
2013.0,6854.0,37.0,49.0,15.0,118.0,14.0,6805.0,5888.0,2062.0,3650.0,2588.0
2014.0,6854.0,38.0,49.0,15.0,120.0,14.0,6763.0,6004.0,2154.0,3621.0,2643.0
2015.0,6854.0,38.0,49.0,15.0,119.0,14.0,6967.0,6147.0,2105.0,3564.0,2724.0
2016.0,6854.0,37.0,49.0,15.0,121.0,13.0,7103.0,5994.0,2105.0,3579.0,2696.0
2017.0,6854.0,37.0,48.0,15.0,119.0,12.0,6946.0,5922.0,2110.0,3537.0,2681.0
2018.0,6854.0,37.0,48.0,15.0,119.0,12.0,7260.0,6070.0,2159.0,3526.0,2696.0
2019.0,6854.0,37.0,48.0,15.0,119.0,12.0,7373.0,6293.0,2174.0,3519.0,2736.0
2020.0,6854.0,37.0,48.0,14.0,116.0,12.0,7106.0,6245.0,2145.0,3530.0,2731.0
2021.0,6854.0,37.0,47.0,14.0,116.0,12.0,6318.0,5742.0,2071.0,3534.0,2698.0
2022.0,6854.0,38.0,47.0,14.0,117.0,12.0,6915.0,6293.0,2081.0,3463.0,2750.0
2023.0,6854.0,36.0,47.0,14.0,115.0,12.0,6871.0,6159.0,2025.0,3418.0,2692.0
2011.0,6854.0,36.0,49.0,16.0,115.0,15.0,7100.0,6110.0,2013.0,3723.0,2537.0
2012.0,6588.0,38.0,46.0,20.0,122.0,10.0,9324.0,8275.0,2346.0,5039.0,3326.0
2013.0,6588.0,38.0,46.0,20.0,127.0,10.0,9340.0,8397.0,2346.0,4987.0,3416.0
2014.0,6588.0,39.0,45.0,16.0,123.0,10.0,9692.0,8284.0,2385.0,4986.0,3507.0
2015.0,6588.0,39.0,45.0,16.0,125.0,10.0,10092.0,8480.0,2436.0,4986.0,3539.0
2016.0,6588.0,37.0,44.0,17.0,122.0,11.0,9283.0,8003.0,2354.0,4950.0,3539.0
2017.0,6588.0,36.0,42.0,17.0,114.0,9.0,9981.0,8360.0,2379.0,4877.0,3560.0
2018.0,6588.0,34.0,39.0,17.0,112.0,9.0,9339.0,8160.0,2445.0,4838.0,3695.0
2019.0,6588.0,34.0,38.0,17.0,112.0,9.0,10011.0,8494.0,2473.0,4832.0,3688.0
2020.0,6588.0,34.0,38.0,17.0,107.0,9.0,9267.0,8067.0,2395.0,4823.0,3630.0
2021.0,6588.0,34.0,38.0,17.0,108.0,9.0,9693.0,8065.0,2314.0,4928.0,3720.0
2022.0,6588.0,34.0,38.0,17.0,109.0,9.0,10472.0,8611.0,2269.0,4843.0,3649.0
2023.0,6588.0,35.0,38.0,18.0,111.0,9.0,10711.0,8495.0,2138.0,4790.0,3651.0
2011.0,6588.0,38.0,47.0,19.0,123.0,9.0,9102.0,8021.0,2350.0,4983.0,3215.0
2011.0,6007.0,20.0,30.0,9.0,67.0,13.0,3057.0,2802.0,840.0,1633.0,1425.0
2012.0,6007.0,20.0,29.0,10.0,68.0,13.0,2930.0,2727.0,796.0,1570.0,1418.0
2013.0,6007.0,19.0,28.0,10.0,68.0,11.0,2848.0,2684.0,746.0,1548.0,1416.0
2014.0,6007.0,19.0,28.0,10.0,71.0,11.0,2853.0,2658.0,760.0,1477.0,1305.0
2015.0,6007.0,19.0,28.0,11.0,72.0,11.0,2758.0,2742.0,810.0,1452.0,1233.0
2016.0,6007.0,19.0,26.0,10.0,71.0,11.0,2832.0,2644.0,825.0,1424.0,1138.0
2017.0,6007.0,18.0,24.0,10.0,67.0,11.0,2963.0,2644.0,876.0,1426.0,1198.0
2018.0,6007.0,18.0,24.0,10.0,66.0,11.0,3123.0,2716.0,914.0,1427.0,1147.0
2019.0,6007.0,18.0,23.0,10.0,65.0,10.0,3212.0,2677.0,921.0,1402.0,1163.0
2020.0,6007.0,18.0,23.0,10.0,65.0,9.0,3130.0,2724.0,908.0,1437.0,1120.0
2021.0,6007.0,18.0,23.0,10.0,66.0,9.0,3112.0,2699.0,863.0,1467.0,1127.0
2022.0,6007.0,18.0,23.0,10.0,64.0,9.0,2974.0,2638.0,842.0,1497.0,1111.0
2023.0,6007.0,18.0,23.0,10.0,66.0,9.0,2926.0,2678.0,808.0,1533.0,1121.0
2011.0,6014.0,12.0,18.0,8.0,48.0,4.0,3256.0,2605.0,612.0,1234.0,975.0
2012.0,6014.0,12.0,18.0,8.0,48.0,4.0,3172.0,2400.0,606.0,1204.0,978.0
2013.0,6014.0,12.0,18.0,7.0,48.0,4.0,3090.0,2386.0,670.0,1171.0,963.0
2014.0,6014.0,12.0,18.0,8.0,49.0,4.0,3007.0,2395.0,686.0,1186.0,973.0
2015.0,6014.0,12.0,18.0,8.0,51.0,4.0,3169.0,2469.0,691.0,1140.0,991.0
2016.0,6014.0,12.0,18.0,8.0,51.0,4.0,3483.0,2498.0,656.0,1127.0,988.0
2017.0,6014.0,12.0,18.0,8.0,51.0,4.0,3370.0,2668.0,657.0,1128.0,1026.0
2018.0,6014.0,12.0,16.0,8.0,48.0,4.0,3483.0,2580.0,718.0,1111.0,1057.0
2019.0,6014.0,13.0,16.0,8.0,49.0,4.0,3629.0,2406.0,755.0,1153.0,1029.0
2020.0,6014.0,13.0,16.0,8.0,49.0,4.0,3242.0,2455.0,728.0,1142.0,1050.0
2021.0,6014.0,13.0,16.0,8.0,50.0,4.0,3214.0,2411.0,676.0,1173.0,1044.0
2022.0,6014.0,13.0,16.0,8.0,50.0,4.0,3229.0,2406.0,643.0,1169.0,1054.0
2023.0,6014.0,13.0,16.0,8.0,48.0,4.0,3491.0,2412.0,616.0,1158.0,1034.0
2011.0,6021.0,12.0,14.0,5.0,39.0,4.0,1938.0,1852.0,596.0,990.0,652.0
2012.0,6021.0,12.0,14.0,4.0,38.0,4.0,1827.0,1734.0,620.0,998.0,487.0
2013.0,6021.0,12.0,13.0,4.0,37.0,4.0,1912.0,1859.0,620.0,988.0,708.0
2014.0,6021.0,12.0,13.0,4.0,37.0,4.0,1794.0,1908.0,632.0,983.0,708.0
2015.0,6021.0,12.0,13.0,4.0,38.0,4.0,2035.0,2020.0,581.0,1027.0,729.0
2016.0,6021.0,12.0,13.0,4.0,40.0,4.0,1976.0,2079.0,558.0,1025.0,753.0
2017.0,6021.0,11.0,13.0,4.0,38.0,4.0,2046.0,2013.0,578.0,1069.0,766.0
2018.0,6021.0,11.0,13.0,4.0,38.0,4.0,2062.0,1967.0,573.0,1038.0,757.0
2019.0,6021.0,11.0,13.0,4.0,40.0,4.0,2009.0,1953.0,577.0,1041.0,742.0
2020.0,6021.0,10.0,13.0,4.0,39.0,4.0,2082.0,1870.0,561.0,1052.0,736.0
2021.0,6021.0,11.0,13.0,4.0,40.0,4.0,1879.0,1748.0,533.0,1053.0,751.0
2022.0,6021.0,10.0,13.0,4.0,39.0,4.0,1932.0,1842.0,521.0,1030.0,729.0
2023.0,6021.0,11.0,13.0,5.0,42.0,4.0,2143.0,2038.0,514.0,997.0,733.0
2011.0,6028.0,125.0,135.0,146.0,309.0,212.0,77068.0,74978.0,22483.0,60599.0,47413.0
2012.0,6028.0,124.0,135.0,144.0,307.0,212.0,76773.0,74923.0,22680.0,60420.0,47978.0
2013.0,6028.0,122.0,135.0,145.0,328.0,215.0,76881.0,74474.0,22611.0,60531.0,48089.0
2014.0,6028.0,124.0,135.0,145.0,329.0,216.0,77203.0,74667.0,22273.0,60805.0,48413.0
2015.0,6028.0,126.0,135.0,144.0,329.0,217.0,77749.0,74873.0,21887.0,61206.0,48874.0
2016.0,6028.0,129.0,135.0,145.0,330.0,219.0,78435.0,75106.0,22148.0,61248.0,48558.0
2017.0,6028.0,129.0,135.0,141.0,316.0,214.0,79202.0,75274.0,22358.0,61447.0,48977.0
2018.0,6028.0,131.0,135.0,139.0,319.0,207.0,79422.0,75956.0,23626.0,61253.0,49478.0
2019.0,6028.0,131.0,135.0,137.0,321.0,201.0,81772.0,77484.0,24503.0,61606.0,49970.0
2020.0,6028.0,132.0,135.0,137.0,317.0,201.0,80844.0,77343.0,24024.0,62010.0,50301.0
2021.0,6028.0,132.0,135.0,137.0,317.0,196.0,80101.0,77295.0,21938.0,62102.0,52769.0
2022.0,6028.0,133.0,137.0,137.0,326.0,198.0,79987.0,77794.0,22523.0,61498.0,52348.0
